timestamp,value
2052,5.917
2153,0
2255,0
2356,5.856
2458,4.087
2559,0
2661,0.5489999999999999
2762,0.488
2863,4.087
2965,4.087
3066,0
3168,0.122
3269,0
3370,3.05
3472,5.429
3573,4.3919999999999995
3675,0.366
3776,0
3877,5.673
3979,1.464
4080,0.122
4181,3.721
4283,0.061
4384,0.244
4486,0.183
4587,0.427
4688,1.22
4790,0.122
4891,0
4992,0.427
5094,0
5195,0
5296,0.305
5398,0
5499,4.941
5601,3.538
5702,0
5803,0.488
5905,5.734
6006,4.819
6108,0
6209,4.209
6310,3.965
6412,0
6513,3.538
6614,2.379
6716,0
6817,4.514
6919,0.244
7020,0
7121,0
7223,5.429
7324,0.122
7426,0
7527,5.49
7628,0
7730,4.209
7831,0
7933,0
8034,4.087
8136,0
8237,0
8338,0
8440,3.355
8541,3.1719999999999997
8643,0.305
8744,3.233
8845,5.429
8947,0
9048,4.88
9150,1.647
9251,0
9352,0
9454,0.183
9555,0
9657,0.427
9758,0
9859,0.488
9961,0.366
10062,0.5489999999999999
10265,0
10366,0
10468,0
10569,0.915
10670,0
10772,5.673
10873,0
10975,0
11076,3.355
11177,4.087
11279,0
11380,5.368
11482,0.427
11583,0
11684,0
11786,0
11887,2.928
11989,0
12090,3.05
12191,0
12293,0.244
12394,4.819
12496,0
12597,0.305
12698,0.366
12800,0
12901,0.366
13002,4.88
13205,0.366
13307,0.427
13408,0.488
13509,0
13611,0
13712,0
13814,0
13915,3.05
14016,0
14118,0.427
14219,0.183
14321,0.427
14422,0
14523,5.917
14625,0.366
14726,2.6229999999999998
14827,0
14929,5.795
15030,5.795
15132,0
15233,0.488
15334,0
15436,3.05
15537,5.612
15639,2.989
15740,0.305
15841,0
15943,0
16044,4.819
16145,4.819
16247,0
16348,0.305
16450,0.488
16551,5.49
16652,5.612
16754,0.5489999999999999
16855,2.501
16956,0.305
17058,0
17159,0.183
17260,0
17362,2.989
17463,0
17564,0.122
17666,0
17767,0
17868,5.795
17970,3.538
18071,0.061
18173,0.305
18274,1.647
18375,2.684
18477,0.305
18578,0
18679,0
18781,2.6229999999999998
18882,5.49
18983,0.366
19085,0.488
19186,0
19287,3.904
19389,0
19490,3.782
19592,0.427
19693,5.795
19794,3.416
19896,5.368
19997,2.379
20099,0.427
20200,0
20301,0
20403,0
20504,0
20605,4.3309999999999995
20707,0
20808,0
20910,5.612
21011,0.5489999999999999
21112,0.427
21214,5.368
21315,0
21416,5.673
21518,0
21619,0.5489999999999999
21721,0.305
21822,5.612
21923,5.612
22025,0
22126,0.061
22228,0
22329,5.917
22430,0.183
22532,3.904
22633,3.355
22735,5.49
22836,5.978
22937,0
23039,4.636
23140,4.514
23242,5.063
23343,0
23445,0.183
23546,4.087
23648,0
23850,0.5489999999999999
23952,0
24053,0.5489999999999999
24155,0
24256,0
24357,4.636
24459,5.612
24560,4.697
24662,4.3309999999999995
24763,1.952
24864,1.952
24966,0.061
25067,4.636
25169,2.6229999999999998
25270,4.514
25372,2.501
25473,0.061
25574,5.917
25676,0.122
25777,0.5489999999999999
25879,0
25980,0.5489999999999999
26082,0.305
26183,5.795
26285,0.366
26386,0
26488,0.305
26589,0
26690,4.697
26792,0
26893,4.697
26995,4.514
27096,4.941
27198,0.488
27299,3.233
27400,0.5489999999999999
27502,0.488
27603,0.366
27705,0
27806,0.366
27908,3.416
28009,4.087
28110,0.305
28212,5.795
28313,0.183
28415,5.185
28516,0.244
28617,5.2459999999999996
28719,0.5489999999999999
28820,0.244
28922,0.183
29023,0.5489999999999999
29125,0.488
29226,0
29327,0
29429,0
29530,2.684
29632,0.427
29733,4.3309999999999995
29835,0
29936,0.5489999999999999
30038,0.305
30139,5.49
