timestamp,value
2052,0
2153,0
2255,0
2356,0
2458,0.5489999999999999
2559,5.978
2661,0
2762,0
2863,0
2965,4.209
3066,0
3168,1.708
3269,0.305
3370,0
3472,0.427
3573,0.427
3675,0.5489999999999999
3776,0
3877,0.488
3979,0.183
4080,0
4181,0.671
4283,5.185
4384,0
4486,0
4587,0.061
4688,1.403
4790,0
4891,0.366
4992,0
5094,4.941
5195,0
5296,1.342
5398,1.708
5499,0.244
5601,0.427
5702,0
5803,0
5905,0
6006,0
6108,1.525
6209,0
6310,5.368
6412,0
6513,0
6614,0
6716,5.124
6817,0.7929999999999999
6919,0
7020,0
7121,0
7223,0.5489999999999999
7324,0
7426,0
7527,0
7628,0
7730,3.782
7831,0
7933,0
8034,0
8136,5.124
8237,0
8338,0
8440,5.063
8541,0.488
8643,0
8744,0
8845,0
8947,0
9048,4.087
9150,0.122
9251,0.7929999999999999
9352,0
9454,0
9555,5.429
9657,5.063
9758,0.5489999999999999
9859,1.83
9961,0
10062,0
10265,0.305
10366,0
10468,0
10569,0
10670,0.061
10772,0
10873,2.013
10975,0
11076,5.185
11177,0.427
11279,0.488
11380,0
11482,0
11583,0.183
11684,0
11786,5.368
11887,0.305
11989,0
12090,0
12191,0
12293,4.575
12394,0
12496,0
12597,0.5489999999999999
12698,0.122
12800,0
12901,0
13002,0.183
13205,5.063
13307,4.087
13408,0
13509,0.366
13611,0
13712,0
13814,0
13915,0
14016,5.856
14118,5.734
14219,0
14321,0.183
14422,0
14523,0.427
14625,0
14726,5.978
14827,0
14929,0
15030,0
15132,0
15233,0
15334,0.854
15436,0
15537,0
15639,0
15740,0
15841,0
15943,2.989
16044,0.305
16145,0.5489999999999999
16247,5.978
16348,5.856
16450,0
16551,0
16652,0
16754,0
16855,3.355
16956,0.427
17058,0
17159,0
17260,0
17362,0
17463,0
17564,0
17666,0.183
17767,0
17868,4.3309999999999995
17970,0
18071,0
18173,0.915
18274,5.063
18375,0
18477,4.453
18578,0
18679,0
18781,6.039
18882,0
18983,0.244
19085,1.281
19186,1.281
19287,0
19389,2.806
19490,0
19592,0
19693,0
19794,0
19896,3.843
19997,0
20099,0
20200,0
20301,0
20403,0
20504,5.368
20605,6.039
20707,0
20808,0.427
20910,0.183
21011,6.039
21112,0
21214,4.758
21315,0
21416,0
21518,0
21619,0.488
21721,3.904
21822,5.734
21923,0
22025,0
22126,0
22228,0
22329,0.5489999999999999
