timestamp,value
2052,124.928
2153,130.845
2255,141.093
2356,141.093
2458,129.686
2559,129.564
2661,127.185
2762,124.928
2863,127.856
2965,124.928
3066,130.174
3168,124.928
3269,124.928
3370,124.928
3472,128.283
3573,125.416
3675,124.928
3776,124.928
3877,124.928
3979,141.032
4080,128.222
4181,127.002
4283,126.514
4384,125.111
4486,124.928
4587,125.416
4688,125.111
4790,124.928
4891,145.668
4992,124.928
5094,124.928
5195,126.758
5296,124.928
5398,142.496
5499,124.928
5601,126.331
5702,124.928
5803,125.233
5905,109.434
6006,142.801
6108,109.312
6209,141.581
6310,125.477
6412,143.411
6513,129.686
6614,124.928
6716,125.477
6817,125.294
6919,140.727
7020,125.294
7121,124.928
7223,125.111
7324,127.429
7426,124.928
7527,124.928
7628,125.294
7730,130.662
7831,124.928
7933,124.928
8034,130.418
8136,124.928
8237,124.928
8338,124.928
8440,124.928
8541,140.666
8643,130.96699999999998
8744,141.337
8845,129.198
8947,124.989
9048,144.387
9150,109.312
9251,144.509
9352,109.312
9454,128.1
9555,140.91
9657,129.137
9758,109.312
9859,124.928
9961,140.666
10062,129.74699999999999
10265,124.928
10366,124.928
10468,124.928
10569,124.928
10670,124.928
10772,125.111
10873,128.771
10975,129.99099999999999
11076,126.636
11177,125.05
11279,141.825
11380,130.96699999999998
11482,124.928
11583,126.697
11684,129.198
11786,124.928
11887,130.418
11989,124.928
12090,128.649
12191,124.928
12293,124.928
12394,140.605
12496,124.928
12597,128.771
12698,125.416
12800,125.477
12901,124.928
13002,129.381
13205,124.928
13307,125.477
13408,124.928
13509,125.172
13611,124.928
13712,128.1
13814,125.416
13915,124.928
14016,130.113
14118,124.928
14219,125.416
14321,125.477
14422,130.418
14523,140.605
14625,124.928
14726,124.928
14827,124.928
14929,124.928
15030,127.429
15132,124.928
15233,140.54399999999998
15334,124.928
15436,124.928
15537,124.928
15639,124.928
15740,124.928
15841,124.928
15943,129.137
16044,129.381
16145,124.928
16247,125.355
16348,124.928
16450,124.928
16551,130.418
16652,124.928
16754,124.928
16855,129.381
16956,125.477
17058,130.113
17159,124.928
17260,124.928
17362,124.928
17463,124.928
17564,124.928
17666,124.928
17767,124.928
17868,124.928
17970,124.928
18071,140.54399999999998
18173,124.928
18274,124.928
18375,128.893
18477,124.928
18578,141.093
18679,124.928
18781,124.928
18882,141.581
18983,125.233
19085,125.477
19186,124.928
19287,129.076
19389,124.928
19490,128.954
19592,125.416
19693,125.111
19794,124.928
19896,125.416
19997,124.928
20099,128.1
20200,124.928
20301,124.928
20403,126.697
20504,124.928
20605,129.564
20707,129.381
20808,124.928
20910,124.928
21011,124.928
21112,124.928
21214,124.928
21315,124.928
21416,129.74699999999999
21518,124.928
21619,125.111
21721,124.928
21822,124.928
21923,125.416
22025,125.416
22126,124.928
22228,129.137
22329,130.845
22430,125.172
22532,124.928
22633,125.477
22735,125.355
22836,124.928
22937,129.93
23039,128.466
23140,130.601
23242,124.928
23343,143.106
23445,130.845
23546,125.294
23648,124.928
23850,124.928
23952,130.662
24053,128.405
24155,124.928
24256,124.928
24357,124.928
24459,124.928
24560,129.32
24662,124.928
24763,124.928
24864,124.928
24966,124.928
25067,124.928
25169,124.928
25270,124.928
25372,124.928
25473,125.294
25574,125.477
25676,124.928
25777,125.294
25879,124.928
25980,129.74699999999999
26082,125.477
26183,124.928
26285,130.113
26386,124.928
26488,130.47899999999998
26589,128.893
26690,129.32
26792,130.174
26893,130.96699999999998
26995,124.928
27096,127.368
27198,124.928
27299,129.808
27400,124.928
27502,125.416
27603,124.928
27705,125.477
27806,124.928
27908,130.418
28009,124.928
28110,129.99099999999999
28212,130.174
28313,125.477
28415,124.928
28516,124.928
28617,127.49
28719,124.928
28820,124.928
28922,124.928
29023,130.113
29125,125.416
29226,127.185
29327,124.928
29429,127.673
29530,125.416
29632,125.233
29733,125.233
29835,124.928
29936,140.727
30038,124.928
30139,125.05
30240,126.697
30342,124.928
30443,124.928
30544,125.477
30646,128.893
30747,124.928
30848,144.753
30950,127.185
31051,140.727
31153,144.326
31254,124.928
31356,129.686
31457,128.893
31558,124.928
31660,124.928
31761,140.788
31862,126.514
31964,124.928
32065,140.54399999999998
32166,127.002
32268,124.928
32369,130.23499999999999
32471,124.928
32572,125.355
32673,125.233
32775,141.398
32977,124.928
33079,124.928
33180,129.564
33282,124.928
33383,128.466
33484,124.928
33586,130.418
33687,124.928
33789,124.928
33890,126.392
33991,128.71
34093,124.928
34194,125.111
34296,125.477
34397,124.928
34499,124.928
34600,125.477
34701,124.928
34803,125.416
34904,130.418
35005,124.928
35107,130.845
35208,142.252
35411,124.928
35614,130.418
35817,124.928
35918,125.233
36019,140.91
36121,125.355
36222,124.928
36324,130.662
36425,124.928
36526,124.928
36628,130.47899999999998
36729,129.381
36831,124.928
36932,129.076
37034,124.928
37135,124.928
37236,125.355
37338,125.782
37439,124.928
37541,125.355
37642,124.928
37744,130.96699999999998
37845,124.928
37947,124.928
38048,140.54399999999998
38149,127.856
38251,129.93
38352,124.928
38454,130.174
38555,130.784
38656,124.928
38758,130.418
38859,124.928
38961,124.928
39062,127.856
39164,129.381
39265,129.198
39367,130.784
39468,130.662
39569,124.928
39671,125.355
39772,124.928
39874,124.928
39975,125.416
40077,129.93
40178,124.928
40280,124.928
40381,130.845
40482,125.477
40584,125.172
40685,124.928
40787,124.928
40888,125.233
40990,124.928
41091,140.666
41192,124.928
41294,124.928
41395,124.928
41497,124.928
41598,126.514
41700,140.54399999999998
41801,93.696
41903,124.989
42105,62.83
42207,94.123
42410,125.477
42511,3.66
42613,0.122
42714,2.013
42816,265.716
42917,18.483
43019,0
43120,0
43221,140.54399999999998
43323,0
43425,0
43526,0
43628,140.971
43729,109.312
43831,2.806
44033,109.312
44135,109.312
44236,129.93
44338,128.649
44439,126.392
44541,129.381
44642,0
44744,124.928
45048,124.928
45149,124.989
45251,125.294
45352,129.99099999999999
45454,112.85
45555,124.928
45657,109.312
45758,124.928
45860,125.233
45961,0
46062,145.48499999999999
46164,124.928
46265,129.564
46367,109.312
46469,0
46570,94.184
46671,140.54399999999998
46773,112.24
46874,125.233
46976,141.093
47077,2.867
47179,124.928
47280,124.989
47382,142.252
47585,124.928
47686,125.172
47787,130.418
47889,124.928
47990,126.148
48092,125.233
48193,124.928
48295,124.928
48396,126.392
48497,124.928
48599,125.111
48700,124.928
48903,124.928
49005,127.429
49106,124.928
49208,126.514
49309,124.928
49411,140.54399999999998
49512,128.466
49614,144.753
49715,3.904
49817,0.305
49918,124.928
50019,124.928
50121,125.111
50222,126.209
50324,124.928
50425,125.05
50526,126.514
50628,127.185
50729,141.947
50831,140.54399999999998
50932,129.076
51236,130.23499999999999
51338,140.727
51439,124.928
51541,140.54399999999998
51642,124.928
51743,125.416
51845,130.96699999999998
51946,124.928
52048,124.928
52149,124.928
52250,124.928
52352,129.93
52555,109.861
52656,140.54399999999998
52758,125.355
52859,124.928
52960,125.416
53062,124.928
53163,125.416
53265,124.928
53366,140.971
53468,124.928
53569,124.928
53671,142.435
53772,124.928
53873,124.928
53975,124.928
54076,124.928
54178,124.928
54279,124.928
54381,140.727
54584,124.928
54685,125.416
54787,124.928
54990,124.928
55091,140.54399999999998
55193,127.124
55294,129.686
55396,124.928
55497,125.416
55599,125.355
55700,125.294
55801,130.845
56004,124.928
56106,141.581
56207,129.503
56309,141.093
56410,124.928
56512,140.849
56613,140.54399999999998
56715,124.989
56816,124.928
56918,125.05
57019,126.88
